project,bug_id,type,bug_report_id,revision_id,revision_date,bug_report_url,root_causes_count,modified_sources_count,root_causes,modified_sources,error
Chart,1,functional,983,2266,2010-02-09 13:23:49 -0800,https://sourceforge.net/p/jfreechart/bugs/983,1,1,org.jfree.chart.renderer.category.junit.AbstractCategoryItemRendererTests::test2947660: junit.framework.AssertionFailedError: expected:<1> but was:<0>,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,
Chart,3,functional,UNKNOWN,2227,2009-08-31 13:54:18 -0700,UNKNOWN,1,1,org.jfree.data.time.junit.TimeSeriesTests::testCreateCopy3: junit.framework.AssertionFailedError: expected:<101.0> but was:<102.0>,org.jfree.data.time.TimeSeries,
Chart,6,functional,UNKNOWN,1166,2008-06-17 01:44:13 -0700,UNKNOWN,2,1,org.jfree.chart.util.junit.ShapeListTests::testSerialization: junit.framework.AssertionFailedError: expected:<org.jfree.chart.util.ShapeList@cef18a3f> but was:<org.jfree.chart.util.ShapeList@e657ea8d>; org.jfree.chart.util.junit.ShapeListTests::testEquals: junit.framework.AssertionFailedError,org.jfree.chart.util.ShapeList,
Chart,7,functional,UNKNOWN,1087,2008-06-10 02:22:11 -0700,UNKNOWN,1,1,org.jfree.data.time.junit.TimePeriodValuesTests::testGetMaxMiddleIndex: junit.framework.AssertionFailedError: expected:<1> but was:<3>,org.jfree.data.time.TimePeriodValues,
Chart,8,functional,UNKNOWN,1085,2008-06-10 02:19:11 -0700,UNKNOWN,1,1,org.jfree.data.time.junit.WeekTests::testConstructor: junit.framework.AssertionFailedError: expected:<35> but was:<34>,org.jfree.data.time.Week,
Chart,11,functional,868,1025,2008-06-02 00:27:30 -0700,https://sourceforge.net/p/jfreechart/bugs/868,1,1,org.jfree.chart.util.junit.ShapeUtilitiesTests::testEqualGeneralPaths: junit.framework.AssertionFailedError,org.jfree.chart.util.ShapeUtilities,
Chart,12,functional,213,852,2008-04-18 06:49:16 -0700,https://sourceforge.net/p/jfreechart/patches/213,1,1,org.jfree.chart.plot.junit.MultiplePiePlotTests::testConstructor: junit.framework.AssertionFailedError,org.jfree.chart.plot.MultiplePiePlot,
Chart,15,functional,UNKNOWN,749,2008-03-19 13:42:01 -0700,UNKNOWN,1,1,org.jfree.chart.plot.junit.PiePlot3DTests::testDrawWithNullDataset: junit.framework.AssertionFailedError,org.jfree.chart.plot.PiePlot,
Chart,16,functional,834,743,2008-02-25 15:58:12 -0800,https://sourceforge.net/p/jfreechart/bugs/834,8,1,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testGetCategoryIndex: java.lang.NullPointerException; org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testSetCategoryKeys: junit.framework.AssertionFailedError; org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testGetSeriesIndex: java.lang.NullPointerException; org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testGetRowCount: java.lang.NullPointerException; org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testGetRowIndex: java.lang.NullPointerException; org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testGetColumnCount: java.lang.NullPointerException; org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testGetColumnIndex: java.lang.NullPointerException; org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testCloning2: java.lang.NullPointerException,org.jfree.data.category.DefaultIntervalCategoryDataset,
Chart,18,functional,UNKNOWN,621,2007-11-22 01:46:16 -0800,UNKNOWN,4,2,"org.jfree.data.category.junit.DefaultCategoryDatasetTests::testBug1835955: java.lang.IndexOutOfBoundsException: Index: 0, Size: 0; org.jfree.data.junit.DefaultKeyedValues2DTests::testRemoveColumnByKey: java.lang.IndexOutOfBoundsException: Index: 0, Size: 0; org.jfree.data.junit.DefaultKeyedValuesTests::testRemoveValue: junit.framework.AssertionFailedError; org.jfree.data.junit.DefaultKeyedValuesTests::testGetIndex2: junit.framework.AssertionFailedError: expected:<-1> but was:<0>",org.jfree.data.DefaultKeyedValues; org.jfree.data.DefaultKeyedValues2D,
